sentence,doc_id
"Tom asked that <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Barry<span style=""background-color: hsl(0, 100%, 80%);"">]</b> stay back to avoid getting shot",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>The family in the building<span style=""background-color: hsl(25, 100%, 80%);"">]</b> were aghast at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the man that was shot<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_7596
"<b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>A small girl<span style=""background-color: hsl(75, 100%, 80%);"">]</b> was very concerned that <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>she<span style=""background-color: hsl(75, 100%, 80%);"">]</b> would n't see <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>her<span style=""background-color: hsl(75, 100%, 80%);"">]</b> family<span style=""background-color: hsl(25, 100%, 80%);"">]</b> again",doc_7596
"Unfortunately <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>Vin<span style=""background-color: hsl(50, 100%, 80%);"">]</b> was bleeding and would n't have much longer to live",doc_7596
"<h1>doc_10650</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> calls <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> to find out where <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is and when <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> can expect <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b>",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> says <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is on <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way and should be there in minutes",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> tells <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> not to panic and to make sure <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is careful until <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> arrives",doc_7596
"<b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is in an office building and assumes <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is reasonably safe",doc_7596
"Little does <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> know that Ruben has tapped <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>her<span style=""background-color: hsl(0, 100%, 80%);"">]</b> phone and is listening in to the whole conversation",doc_7596
"<h1>doc_7596</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span><b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> and Victoria<span style=""background-color: hsl(0, 100%, 80%);"">]</b> are enjoying a drink together at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar of a ski lodge<span style=""background-color: hsl(50, 100%, 80%);"">]</b> while <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>they<span style=""background-color: hsl(0, 100%, 80%);"">]</b> wait for <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>their<span style=""background-color: hsl(0, 100%, 80%);"">]</b> friends to finish skiing",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> hears a loud car engine outside that <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> thinks <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> recognizes so <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> gets up and makes <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b>",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> walks to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b> and looks outside",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>He<span style=""background-color: hsl(25, 100%, 80%);"">]</b> sees <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>Jeff 's bright red car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> right in front of <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_7596
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> watches sadly <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>the car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> as <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>it<span style=""background-color: hsl(100, 100%, 80%);"">]</b> drives by , ditching <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b> at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the ski lodge bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_7596
"<h1>doc_12679</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Barry<span style=""background-color: hsl(0, 100%, 80%);"">]</b> looked out in the rain at the situation",doc_4533
"Tom asked that <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Barry<span style=""background-color: hsl(0, 100%, 80%);"">]</b> stay back to avoid getting shot",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>The family in the building<span style=""background-color: hsl(25, 100%, 80%);"">]</b> were aghast at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the man that was shot<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_4533
"<b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>A small girl<span style=""background-color: hsl(75, 100%, 80%);"">]</b> was very concerned that <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>she<span style=""background-color: hsl(75, 100%, 80%);"">]</b> would n't see <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>her<span style=""background-color: hsl(75, 100%, 80%);"">]</b> family<span style=""background-color: hsl(25, 100%, 80%);"">]</b> again",doc_4533
"Unfortunately <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>Vin<span style=""background-color: hsl(50, 100%, 80%);"">]</b> was bleeding and would n't have much longer to live",doc_4533
"<h1>doc_10650</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> calls <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> to find out where <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is and when <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> can expect <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b>",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> says <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is on <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way and should be there in minutes",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> tells <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> not to panic and to make sure <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is careful until <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> arrives",doc_4533
"<b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is in an office building and assumes <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is reasonably safe",doc_4533
"Little does <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> know that Ruben has tapped <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>her<span style=""background-color: hsl(0, 100%, 80%);"">]</b> phone and is listening in to the whole conversation",doc_4533
"<h1>doc_7596</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span><b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> and Victoria<span style=""background-color: hsl(0, 100%, 80%);"">]</b> are enjoying a drink together at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar of a ski lodge<span style=""background-color: hsl(50, 100%, 80%);"">]</b> while <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>they<span style=""background-color: hsl(0, 100%, 80%);"">]</b> wait for <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>their<span style=""background-color: hsl(0, 100%, 80%);"">]</b> friends to finish skiing",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> hears a loud car engine outside that <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> thinks <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> recognizes so <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> gets up and makes <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b>",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> walks to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b> and looks outside",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>He<span style=""background-color: hsl(25, 100%, 80%);"">]</b> sees <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>Jeff 's bright red car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> right in front of <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> watches sadly <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>the car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> as <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>it<span style=""background-color: hsl(100, 100%, 80%);"">]</b> drives by , ditching <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b> at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the ski lodge bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_4533
"<h1>doc_4533</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span><b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jeff<span style=""background-color: hsl(25, 100%, 80%);"">]</b> and John<span style=""background-color: hsl(0, 100%, 80%);"">]</b> were going to <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>Millionaire Lebowski 's<span style=""background-color: hsl(75, 100%, 80%);"">]</b> house<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_4533
"<b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>They<span style=""background-color: hsl(0, 100%, 80%);"">]</b> were going to tell <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the old man<span style=""background-color: hsl(75, 100%, 80%);"">]</b> that <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>his<span style=""background-color: hsl(75, 100%, 80%);"">]</b> wife<span style=""background-color: hsl(100, 100%, 80%);"">]</b> had n't been kidnapped",doc_4533
"And that it was all a setup for <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>him<span style=""background-color: hsl(75, 100%, 80%);"">]</b> to pay the ransom and <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>his<span style=""background-color: hsl(75, 100%, 80%);"">]</b> wife<span style=""background-color: hsl(100, 100%, 80%);"">]</b> to keep the money",doc_4533
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jeff<span style=""background-color: hsl(25, 100%, 80%);"">]</b> was eager to tell <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the old man<span style=""background-color: hsl(75, 100%, 80%);"">]</b> to end this story once and for all",doc_4533
"Arriving at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the old man 's<span style=""background-color: hsl(75, 100%, 80%);"">]</b> mansion<span style=""background-color: hsl(50, 100%, 80%);"">]</b> , <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>they<span style=""background-color: hsl(0, 100%, 80%);"">]</b> found a car about to enter a fountain",doc_4533
Something had happened,doc_4533
"<h1>doc_12679</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Barry<span style=""background-color: hsl(0, 100%, 80%);"">]</b> looked out in the rain at the situation",doc_5649
"Tom asked that <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Barry<span style=""background-color: hsl(0, 100%, 80%);"">]</b> stay back to avoid getting shot",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>The family in the building<span style=""background-color: hsl(25, 100%, 80%);"">]</b> were aghast at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the man that was shot<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_5649
"<b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>A small girl<span style=""background-color: hsl(75, 100%, 80%);"">]</b> was very concerned that <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>she<span style=""background-color: hsl(75, 100%, 80%);"">]</b> would n't see <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>her<span style=""background-color: hsl(75, 100%, 80%);"">]</b> family<span style=""background-color: hsl(25, 100%, 80%);"">]</b> again",doc_5649
"Unfortunately <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>Vin<span style=""background-color: hsl(50, 100%, 80%);"">]</b> was bleeding and would n't have much longer to live",doc_5649
"<h1>doc_10650</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> calls <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> to find out where <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is and when <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> can expect <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b>",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> says <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> is on <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way and should be there in minutes",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Kevin<span style=""background-color: hsl(25, 100%, 80%);"">]</b> tells <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> not to panic and to make sure <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is careful until <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> arrives",doc_5649
"<b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is in an office building and assumes <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>she<span style=""background-color: hsl(0, 100%, 80%);"">]</b> is reasonably safe",doc_5649
"Little does <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>Demi<span style=""background-color: hsl(0, 100%, 80%);"">]</b> know that Ruben has tapped <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>her<span style=""background-color: hsl(0, 100%, 80%);"">]</b> phone and is listening in to the whole conversation",doc_5649
"<h1>doc_7596</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span><b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> and Victoria<span style=""background-color: hsl(0, 100%, 80%);"">]</b> are enjoying a drink together at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar of a ski lodge<span style=""background-color: hsl(50, 100%, 80%);"">]</b> while <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>they<span style=""background-color: hsl(0, 100%, 80%);"">]</b> wait for <b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>their<span style=""background-color: hsl(0, 100%, 80%);"">]</b> friends to finish skiing",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> hears a loud car engine outside that <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> thinks <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> recognizes so <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>he<span style=""background-color: hsl(25, 100%, 80%);"">]</b> gets up and makes <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>his<span style=""background-color: hsl(25, 100%, 80%);"">]</b> way to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b>",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> walks to <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the door<span style=""background-color: hsl(75, 100%, 80%);"">]</b> and looks outside",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>He<span style=""background-color: hsl(25, 100%, 80%);"">]</b> sees <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>Jeff 's bright red car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> right in front of <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_5649
"<b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jim<span style=""background-color: hsl(25, 100%, 80%);"">]</b> watches sadly <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>the car<span style=""background-color: hsl(100, 100%, 80%);"">]</b> as <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span>it<span style=""background-color: hsl(100, 100%, 80%);"">]</b> drives by , ditching <b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>him<span style=""background-color: hsl(25, 100%, 80%);"">]</b> at <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span>the ski lodge bar<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_5649
"<h1>doc_4533</h1><b><span style=""background-color: hsl(0, 100%, 80%);"">[</span><b><span style=""background-color: hsl(25, 100%, 80%);"">[</span>Jeff<span style=""background-color: hsl(25, 100%, 80%);"">]</b> and John<span style=""background-color: hsl(0, 100%, 80%);"">]</b> were going to <b><span style=""background-color: hsl(50, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>Millionaire Lebowski 's<span style=""background-color: hsl(75, 100%, 80%);"">]</b> house<span style=""background-color: hsl(50, 100%, 80%);"">]</b>",doc_5649
"<b><span style=""background-color: hsl(0, 100%, 80%);"">[</span>They<span style=""background-color: hsl(0, 100%, 80%);"">]</b> were going to tell <b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>the old man<span style=""background-color: hsl(75, 100%, 80%);"">]</b> that <b><span style=""background-color: hsl(100, 100%, 80%);"">[</span><b><span style=""background-color: hsl(75, 100%, 80%);"">[</span>his<span style=""background-color: hsl(75, 100%, 80%);"">]</b> wife<span style=""background-color: hsl(100, 100%, 80%);"">]</b> had n't been kidnapped",doc_5649
